placebo_mean,mean_diff,effect_label,placebo_std,n_pairs,std_diff,orexin_std,p_value,statistic,metric,orexin_mean,test,effect_size
252.14754939079285,4.015879829724629,Cohen's d_z,26.733702364561534,24,37.44270903495834,35.26865728054537,0.6043099583130027,0.5254350822733561,PVT_mean_rt,256.16342922051746,Paired t,0.10725398704391843
241.95327858130136,0.8356422185897827,Cohen's d_z,21.350941004303266,24,22.01302282813301,21.547355739514476,0.8540975802414584,0.185971464169499,PVT_median_rt,242.78892079989114,Paired t,0.03796126616112976
289.3830845753352,1.2574474016825299,Cohen's d_z,45.758011031690465,24,68.41246760576625,63.37112244037201,0.9290309234877889,0.09004512248440236,PVT_slowest_10pct,290.6405319770177,Paired t,0.01838038365943321
66.83333333333333,1.5833333333333333,Cohen's d_z,11.805181863934994,24,11.321071798494465,10.303721010715822,0.5000921232434282,0.6851575236758877,DSST_correct_count,68.41666666666667,Paired t,0.13985719386956746
7.95,-0.1,rank-biserial r,1.3168942730211068,20,1.1192102478745307,1.0399898784932577,0.82666015625,34.5,DigitSpan_forward_span,7.85,Wilcoxon signed-rank,-0.16666666666666666
7.2,-0.05,rank-biserial r,1.1516578439248717,20,1.050062654772261,0.8750939799154206,0.95635986328125,56.5,DigitSpan_backward_span,7.15,Wilcoxon signed-rank,-0.06666666666666667
15.15,-0.15,rank-biserial r,2.0332758116683998,20,1.5312533566021211,1.7471781760734562,0.7318712277666715,69.0,DigitSpan_total_span,15.0,Wilcoxon signed-rank,0.058823529411764705
3.0833333333333335,0.125,rank-biserial r,0.880546602310508,24,1.1539158284426272,0.9770927002733856,0.6226897006263873,107.0,SSS_rating,3.2083333333333335,Wilcoxon signed-rank,0.15789473684210525
8.206249999999999,0.36562499999999987,Cohen's d_z,1.0524376466090521,16,2.3918338598161375,1.9734789618749329,0.5500534476741344,0.6114555130983985,Sleep_duration_h,8.571875,Paired t,0.15286387827459963
448.625,7.25,Cohen's d_z,61.64941200044004,16,125.33235815223458,98.60214669738856,0.820142566237019,0.23138477905901392,Sleep_minutes_asleep,455.875,Paired t,0.05784619476475348
91.0,-1.875,Cohen's d_z,3.265986323710904,16,7.003570517957251,5.402160061802439,0.30115140438984367,-1.0708823421952984,Sleep_efficiency,89.125,Paired t,-0.2677205855488246
74.3125,-0.25,Cohen's d_z,19.86527539871186,16,29.045940622859273,23.5979342316229,0.9729896505157802,-0.03442821883389088,Sleep_deep_min,74.0625,Paired t,-0.00860705470847272
267.125,13.8125,Cohen's d_z,39.769125378028285,16,86.51028358910094,70.544991553854,0.5326800987272888,0.6386523972389418,Sleep_light_min,280.9375,Paired t,0.15966309930973546
106.75,-6.375,Cohen's d_z,21.173883284209662,16,33.063323083642594,27.952042262894974,0.45253915749623874,-0.7712473406103455,Sleep_rem_min,100.375,Paired t,-0.19281183515258637
43.625,14.5,Cohen's d_z,15.777093099385155,16,44.606427040655625,38.901371012686255,0.2131361340122443,1.300261057608068,Sleep_wake_min,58.125,Paired t,0.325065264402017
