"alarm","date","activity","happy","content","relaxed","horny"
2021-01-27T15:53,2021-01-27T15:53,"",55,57,55,
2021-01-27T16:25,2021-01-27T16:25,"",,,,
2021-01-27T20:00,2021-01-27T20:00,"",57,59,56,
2021-01-28T08:24,2021-01-28T08:24,"",,,,
2021-01-28T08:24,2021-01-28T08:24,"",57,53,55,
2021-01-28T10:00,2021-01-28T10:00,"",52,52,48,
2021-01-28T11:34,2021-01-28T11:34,"",55,59,56,
2021-01-28T11:54,2021-01-28T11:54,"",58,59,56,
2021-01-28T14:18,2021-01-28T14:18,"",51,56,55,
2021-01-28T14:33,2021-01-28T14:33,"",54,56,58,
2021-01-28T14:48,2021-01-28T14:48,"",52,55,56,
2021-01-28T16:41,2021-01-28T16:41,"",55,56,54,
2021-01-28T17:47,2021-01-28T17:47,"",57,55,58,
2021-01-28T19:43,2021-01-28T19:43,"",53,64,60,
2021-01-29T08:28,2021-01-29T08:28,"",48,46,52,
2021-01-29T09:05,2021-01-29T09:05,"",56,60,57,
2021-01-29T09:23,2021-01-29T09:23,"",46,47,46,
2021-01-29T10:38,2021-01-29T10:38,"",52,54,51,
2021-01-29T11:43,2021-01-29T11:43,"",53,56,55,
2021-01-29T13:13,2021-01-29T13:13,"",52,48,49,
2021-01-29T13:45,2021-01-29T13:45,"",52,58,58,
2021-01-29T14:33,2021-01-29T14:33,"",47,46,47,
2021-01-29T15:04,2021-01-29T15:04,"",52,54,49,
2021-01-29T16:26,2021-01-29T16:26,"",47,46,49,
2021-01-29T17:12,2021-01-29T17:12,"",48,47,44,
2021-01-30T08:06,2021-01-30T08:06,"",51,55,56,
2021-01-30T08:09,2021-01-30T08:09,"",53,59,59,
2021-01-30T09:59,2021-01-30T09:59,"",52,57,57,
2021-01-30T14:42,2021-01-30T14:42,"",60,61,55,
2021-01-30T17:05,2021-01-30T17:05,"",49,52,49,
2021-01-30T17:20,2021-01-30T17:20,"",48,43,48,
2021-01-31T10:21,2021-01-31T10:21,"",,,,
2021-01-31T20:37,2021-01-31T20:37,"",53,58,56,
2021-01-31T22:08,2021-01-31T22:08,"",54,52,53,
2021-02-01T08:48,2021-02-01T08:48,"",47,46,49,
2021-02-01T09:58,2021-02-01T09:58,"",48,48,47,
2021-02-01T10:44,2021-02-01T10:44,"",53,59,53,
2021-02-01T11:15,2021-02-01T11:15,"",52,55,52,
2021-02-01T15:20,2021-02-01T15:20,"",52,56,56,
2021-02-01T19:26,2021-02-01T19:26,"",44,47,44,
2021-02-01T20:16,2021-02-01T20:16,"",59,57,53,
2021-02-02T08:48,2021-02-02T08:48,"",55,58,56,
2021-02-02T10:51,2021-02-02T10:51,"",48,48,46,
2021-02-02T11:23,2021-02-02T11:23,"",46,45,42,
2021-02-02T11:54,2021-02-02T11:54,"",55,56,54,
2021-02-02T15:07,2021-02-02T15:07,"",56,59,56,
2021-02-02T16:46,2021-02-02T16:46,"",50,53,55,
2021-02-02T17:48,2021-02-02T17:48,"",55,58,57,
2021-02-02T18:04,2021-02-02T18:04,"",,,,
2021-02-02T18:51,2021-02-02T18:51,"",52,54,51,
2021-02-02T19:37,2021-02-02T19:37,"",48,45,50,
2021-02-03T10:21,2021-02-03T10:21,"",53,56,62,
2021-02-03T10:36,2021-02-03T10:36,"",52,48,56,
2021-02-03T10:51,2021-02-03T10:51,"",48,51,57,
2021-02-03T12:08,2021-02-03T12:08,"",,,,
2021-02-03T13:44,2021-02-03T13:44,"",54,56,58,
2021-02-03T15:27,2021-02-03T15:27,"",47,45,47,
