datetime,enjoyment,methods
2021-12-04T03:30:00,0.3,av
2021-12-04T04:35:00,0.3,av
2021-12-04T06:00:00,0.2,av
2021-12-05T00:30:00,0.65,av
2021-12-05T01:55:00,0.1,av
2021-12-08T23:50:00,0.4,t
2021-12-15T02:10:00,0.75,
2021-12-16T12:48:30,0.5,t
2021-12-19T23:35:00,0.3,t
2021-12-21T01:30:00,0.3,t
2021-12-24T11:30:00,0.65,av
2021-12-25T11:30:00,0.5,av
2021-12-25T22:00:00,0.4,av
2021-12-27T05:30:00,0.3,av
2021-12-27T16:30:00,0.7,av
2021-12-29T00:55:00,0.25,av
2021-12-30T02:30:00,0.6,
2021-12-30T22:00:00,0.5,av
2022-01-12T01:40:00,0.75,t
2022-01-12T21:15:00,0.8,ti
2022-01-14T13:15:00,1.2,t
2022-02-22T23:10:00,1.0,t
2022-03-25T09:00:00,0.2,
2022-03-27T03:05:00,0.2,av
2022-03-28T03:10:00,0.3,
2022-03-29T00:30:00,0.35,t
2022-03-30T13:05:00,0.3,
2022-04-05T01:00:00,0.4,
2022-04-09T12:15:00,0.3,ti
2022-04-13T00:30:00,0.0,av
2022-04-28T11:30:00,0.5,t
2022-04-28T15:35:00,0.2,av
2022-05-01T00:25:00,0.3,t
2022-05-08T02:00:00,0.65,av
2022-05-11T01:05:00,0.4,t
2022-05-13T00:30:00,0.4,
2022-05-16T17:40:00,0.65,ti
2022-05-17T23:20:00,0.5,av
2022-05-20T21:40:00,0.35,av
2022-05-21T23:25:00,0.2,av
2022-05-24T00:40:00,0.6,
2022-05-25T10:10:00,0.25,av
2022-05-29T06:40:00,0.35,av
2022-05-30T18:20:00,0.4,t
2022-06-01T00:40:00,0.6,
2022-06-01T11:30:00,0.4,t
2022-06-03T15:15:00,0.5,av
2022-06-07T01:20:00,0.5,t
2022-06-10T23:50:00,0.4,
2022-06-11T23:50:00,0.5,t
2022-06-12T00:50:00,0,t
2022-06-17T01:36:00,0.3,t
2022-06-18T01:30:00,0.35,t
2022-06-22T02:35:00,0.65,
2022-06-24T01:05:00,0.55,av
2022-06-24T01:25:00,0.2,av
2022-06-26T02:00:00,0.6,
2022-06-26T20:00:00,0.5,av
2022-06-28T02:15:00,0.35,
2022-06-30T08:00:00,0.29,
2022-06-30T23:50:00,0.3,t
2022-07-01T09:30:00,0.35,t
2022-07-05T19:40:00,0.5,t
2022-07-07T02:00:00,0.7,
2022-07-09T01:29:54+02:00,0.2,t
2022-07-09T02:27:13+02:00,0.25,t
2022-07-11T01:45:44+02:00,0.45,t
2022-07-13T00:50:19+02:00,0.3,t
2022-07-13T22:08:08+02:00,0.4,t
2022-07-16T03:38:20+02:00,0.2,t
2022-07-17T00:51:25+02:00,0.25,av
2022-07-18T23:12:57+02:00,0.1,av
2022-07-22T02:00:00+02:00,0.3,
2022-07-23T05:00:00+02:00,0.15,
2022-07-23T18:09:13+02:00,0.25,t
2022-07-27T01:45:00+02:00,0.4,
2022-07-28T01:50:18+02:00,0.1,t
2022-07-29T11:59:19+02:00,0.3,t
2022-08-02T00:03:34+02:00,0.6,av
2022-08-02T22:55:50+02:00,0.4,t
2022-08-05T00:19:16+02:00,0.4,a
2022-08-05T21:28:37+02:00,0.25,av
2022-08-05T22:15:26+02:00,0.1,av
2022-08-06T22:53:22+02:00,0.15,av
2022-08-13T23:05:37+02:00,0.5,av
2022-08-14T02:52:58+02:00,0.6,av
2022-08-15T02:23:16+02:00,0.35,av
2022-08-19T03:20:00+02:00,0.25,
2022-08-21T00:22:00+02:00,0.2,
2022-08-21T23:50:00+02:00,0.3,
2022-08-23T05:48:00+02:00,0.35,
2022-08-25T06:15:00+02:00,0.4,
2022-08-26T00:50:00+02:00,0.5,
2022-08-28T00:39:00+02:00,0.45,
2022-08-29T23:40:00+02:00,0.8,
2022-08-31T00:55:00+02:00,0.65,
2022-09-01T00:14:00+02:00,0.7,
2022-09-02T00:22:00+02:00,0.6,
2022-09-03T00:17:00+02:00,0.65,
2022-09-03T18:00:00+02:00,0.8,
2022-09-05T00:14:00+02:00,0.35,
2022-09-06T08:35:00+02:00,0.4,
2022-09-07T07:20:00+02:00,0.55,
2022-09-09T01:05:00+02:00,0.85,
2022-09-11T00:40:00+02:00,0.55,
2022-09-11T23:45:00+02:00,0.6,
2022-09-15T02:17:45+02:00,0.45,av
2022-09-15T03:07:05+02:00,0.2,av
2022-09-19T06:18:00+02:00,0.4,av
2022-09-19T10:20:00+02:00,0.25,av
2022-09-19T23:46:15+02:00,0.3,t
2022-09-20T23:12:54+02:00,0.2,av
2022-09-22T00:47:09+02:00,0.3,av
2022-09-24T01:50:42+02:00,0.2,av
2022-09-25T00:58:24+02:00,0.4,av
2022-09-25T02:00:51+02:00,0.25,av
2022-09-28T01:16:13+02:00,0.3,t
2022-10-01T01:22:22+02:00,0.25,av
2022-10-08T03:05:00+02:00,0.1,av
2022-10-09T01:40:00+02:00,0.45,av
2022-10-10T01:44:41+02:00,0.3,av
2022-10-11T00:09:00+02:00,0.1,av
2022-10-14T03:46:33+02:00,0.3,av
2022-10-16T04:33:09+02:00,0.2,av
2022-10-17T00:14:52+02:00,0.35,av
2022-10-18T00:43:01+02:00,0.18,av
2022-10-20T00:07:09+02:00,0.2,av
2022-10-23T01:07:00+02:00,0.4,a
2022-10-27T00:56:56+02:00,0.2,a
2022-10-29T09:00:00+02:00,0,a
2022-10-30T00:56:48+02:00,0.25,t
2022-10-31T23:28:09+01:00,0.15,t
2022-11-04T13:23:58+01:00,0.58,t
2022-11-06T09:59:24+01:00,0.3,t
2022-11-12T22:09:38+01:00,0.4,a
2022-11-16T10:23:00+01:00,0.4,
2022-11-19T01:54:52+01:00,0.7,t
2022-11-20T09:34:08+01:00,0.35,t
2022-11-23T02:39:20+01:00,0.2,t
