Depart,Start,End,Return,First,Last,Amount
2021-07-05T18:26:00,2021-07-05T18:26:00,2021-07-05T21:04:00,2021-07-05T21:04:00,50,53,3
2021-07-08T18:36:00,2021-07-08T18:36:00,2021-07-08T20:45:00,2021-07-08T20:45:00,53,58,5
2021-07-09T17:30:00,2021-07-09T17:30:00,2021-07-10T00:15:00,2021-07-10T00:15:00,58,59,1
2021-07-14T19:14:00,2021-07-14T19:14:00,2021-07-14T20:06:00,2021-07-14T20:06:00,59,60,1
2021-07-16T18:14:00,2021-07-16T18:14:00,2021-07-16T20:00:00,2021-07-16T20:00:00,60,61,1
2021-07-18T19:06:00,2021-07-18T19:06:00,2021-07-18T20:14:00,2021-07-18T20:14:00,61,64,3
2021-07-19T18:21:00,2021-07-19T18:21:00,2021-07-19T21:00:00,2021-07-19T21:00:00,64,68,4
2021-07-22T19:05:00,2021-07-22T19:18:00,2021-07-22T19:58:00,2021-07-22T20:50:00,68,68,0
2021-07-23T17:12:00,2021-07-23T17:28:00,2021-07-23T19:36:00,2021-07-23T19:56:00,68,73,5
2021-07-24T18:15:00,2021-07-24T18:29:00,2021-07-24T21:00:00,2021-07-24T21:30:00,73,77,4
2021-07-25T13:29:00,2021-07-25T14:15:00,2021-07-25T16:55:00,2021-07-25T17:04:00,77,88,11
2021-07-28T18:41:00,2021-07-28T18:53:00,2021-07-28T20:24:00,2021-07-28T21:00:00,88,93,5
2021-07-30T16:30:00,2021-07-30T16:59:00,2021-07-30T18:40:00,2021-07-30T18:55:00,93,95,2
2021-08-01T14:26:00,2021-08-01T14:39:00,2021-08-01T19:34:00,2021-08-01T19:37:00,95,118,23
2021-08-03T14:57:00,2021-08-03T14:57:00,2021-08-03T18:21:00,2021-08-03T18:40:00,118,123,5
2021-08-04T17:39:00,2021-08-04T17:51:00,2021-08-04T19:30:00,2021-08-04T19:57:00,123,126,3
2021-08-07T15:46:00,2021-08-07T16:41:00,2021-08-07T17:33:00,2021-08-07T17:34:00,126,126,0
2021-08-08T14:36:00,2021-08-08T17:48:00,2021-08-08T17:48:00,2021-08-08T18:23:00,126,133,7
2021-08-16T17:55:00,2021-08-16T18:18:00,2021-08-16T19:53:00,2021-08-16T20:30:00,133,135,2
2021-09-07T17:16:00,2021-09-07T17:35:00,2021-09-07T19:04:00,2021-09-07T19:04:00,135,135,0
2021-09-08T16:47:00,2021-09-08T17:05:00,2021-09-08T18:50:00,2021-09-08T19:05:00,135,139,4
2021-09-09T17:06:00,2021-09-09T17:23:00,2021-09-09T19:05:00,2021-09-09T19:40:00,139,147,8
2021-09-13T18:00:00,2021-09-13T18:08:00,2021-09-13T19:08:00,2021-09-13T19:24:00,147,147,0
2021-09-14T17:30:00,2021-09-14T17:40:00,2021-09-14T19:34:00,2021-09-14T19:50:00,147,150,3
2021-09-16T17:42:00,2021-09-16T17:49:00,2021-09-16T19:44:00,2021-09-16T20:10:00,150,156,6
2021-09-17T17:55:00,2021-09-17T18:10:00,2021-09-17T19:29:00,2021-09-17T19:29:00,156,156,0
2021-10-14T17:02:00,2021-10-14T17:14:00,2021-10-14T18:48:00,2021-10-14T19:05:00,156,158,2
2021-10-16T13:20:00,2021-10-16T13:45:00,2021-10-16T16:53:00,2021-10-16T17:10:00,158,166,8
2021-10-17T13:40:00,2021-10-17T13:51:00,2021-10-17T14:37:00,2021-10-17T14:37:00,166,166,0
2021-10-20T17:19:00,2021-10-20T17:30:00,2021-10-20T18:55:00,2021-10-20T19:10:00,166,166,0
2021-10-23T15:58:00,2021-10-23T16:12:00,2021-10-23T17:26:00,2021-10-23T17:37:00,166,167,1
2021-10-24T13:23:00,2021-10-24T13:45:00,2021-10-24T16:19:00,2021-10-24T16:19:00,167,170,3
2021-10-30T13:19:00,2021-10-30T14:00:00,2021-10-30T16:36:00,2021-10-30T16:52:00,170,182,12
2021-11-06T2:00:00,2021-11-06T2:00:00,2021-11-06T16:00:00,2021-11-06T16:00:00,182,183,1
2022-01-03T18:04:00,2022-01-03T18:16:00,2022-01-03T18:50:00,2022-01-03T19:04:00,183,183,0
2022-01-05T18:10:00,2022-01-05T18:26:00,2022-01-05T19:11:00,2022-01-05T19:11:00,183,183,0
2022-01-12T12:04:00,2022-01-12T12:48:00,2022-01-12T13:29:00,2022-01-12T14:40:00,183,184,1
2022-01-16T11:38:00,2022-01-16T11:53:00,2022-01-16T14:40:00,2022-01-16T15:31:00,184,186,2
2022-01-17T17:22:00,2022-01-17T17:31:00,2022-01-17T18:36:00,2022-01-17T18:50:00,186,186,0
2022-01-18T17:16:00,2022-01-18T17:26:00,2022-01-18T18:31:00,2022-01-18T19:00:00,186,187,1
2022-01-19T17:23:00,2022-01-19T17:30:00,2022-01-19T19:00:00,2022-01-19T19:15:00,187,191,4
2022-01-20T17:31:00,2022-01-20T17:43:00,2022-01-20T18:47:00,2022-01-20T19:05:00,191,195,4
2022-01-22T12:40:00,2022-01-22T13:10:00,2022-01-22T16:11:00,2023-03-03T15:10:57,195,209,14
2022-01-22T18:17:00,2022-01-22T18:29:00,2022-01-22T19:06:00,2022-01-22T19:22:00,209,209,0
2022-01-25T17:11:00,2022-01-25T17:21:00,2022-01-25T18:32:00,2022-01-25T18:50:00,209,210,1
2022-01-26T16:55:00,2022-01-26T17:05:00,2022-01-26T18:31:00,2022-01-26T18:50:00,210,212,2
2022-01-27T17:35:00,2022-01-27T17:46:00,2022-01-27T18:46:00,2022-01-27T19:40:00,212,212,0
2022-01-28T17:15:00,2022-01-28T17:28:00,2022-01-28T19:13:00,2022-01-28T19:34:00,212,217,5
2022-01-29T14:25:00,2022-01-29T14:35:00,2022-01-29T16:57:00,2022-01-29T17:15:00,217,221,4
2022-01-31T14:23:00,2022-01-31T15:10:57,2022-01-31T18:50:00,2022-01-31T19:50:00,221,224,3
2022-02-01T17:10:00,2022-02-01T17:23:00,2022-02-01T18:55:00,2022-02-01T19:30:00,224,224,0
2022-02-02T16:12:00,2022-02-02T16:23:00,2022-02-02T18:12:00,2022-02-02T18:23:00,224,228,4
2022-02-04T17:20:00,2022-02-04T17:46:00,2022-02-04T18:50:00,2022-02-04T21:05:00,228,228,0
2022-02-05T12:33:00,2022-02-05T13:17:00,2022-02-05T15:41:00,2022-02-06T17:00:00,228,233,5
2022-02-06T14:13:00,2022-02-06T14:27:00,2022-02-06T14:58:00,2022-02-06T15:55:00,233,241,8
2022-02-08T18:04:00,2022-02-08T18:16:00,2022-02-08T19:20:00,2022-02-08T20:00:00,241,241,0
2022-02-09T16:26:00,2022-02-09T16:35:00,2022-02-09T19:02:00,2022-02-09T19:25:00,241,250,9
2022-02-10T17:18:00,2022-02-10T17:26:00,2022-02-10T19:22:00,2022-02-10T19:35:00,250,250,0
2022-02-11T16:43:00,2022-02-11T16:52:00,2022-02-11T19:36:00,2022-02-11T19:50:00,250,257,7
2022-02-12T16:00:00,2022-02-12T16:00:00,2022-02-12T16:24:00,2022-02-12T16:24:00,257,257,0
