Depart,Start,End,Return,First,Last,Amount
2024-08-24T14:50:00,2024-08-24T15:10:00,2024-08-24T17:21:00,2024-08-24T18:00:00,604,609,5
2024-08-25T15:49:00,2024-08-25T16:15:00,2024-08-25T17:35:00,2024-08-25T18:26:00,609,613,4
2024-08-28T17:51:00,2024-08-28T18:10:00,2024-08-28T19:18:00,2024-08-28T19:30:00,613,616,3
2024-08-29T17:05:00,2024-08-29T17:17:00,2024-08-29T18:15:00,2024-08-29T18:33:00,616,619,3
2024-08-30T17:27:00,2024-08-30T17:42:00,2024-08-30T18:44:00,2024-08-30T18:58:00,619,619,0
2024-08-31T15:34:00,2024-08-31T15:40:00,2024-08-31T17:53:00,2024-08-31T18:36:00,619,623,4
2024-09-01T14:17:00,2024-09-01T14:50:00,2024-09-01T16:15:00,2024-09-01T16:42:00,623,627,4
2024-09-03T17:14:00,2024-09-03T17:27:00,2024-09-03T18:33:00,2024-09-03T18:51:00,627,627,0
2024-09-05T17:28:00,2024-09-05T17:38:00,2024-09-05T18:11:00,2024-09-05T18:21:00,627,627,0
2024-09-06T18:11:00,2024-09-06T18:21:00,2024-09-06T19:37:00,2024-09-06T19:50:00,627,629,2
2024-09-07T14:38:00,2024-09-07T15:00:00,2024-09-07T17:33:00,2024-09-07T18:00:00,629,635,6
2024-09-09T14:49:00,2024-09-09T15:10:00,2024-09-09T17:45:00,2024-09-09T18:10:00,635,645,10
